Timestamp,Page Number,CarID,UniqueURL,CarName,CarPrice,CarMileage,BuildMonth,BuildYear,Power,Usage,Transmission,Fuel
2021-06-29 12:51:35.798721,2,6,/nl/aanbod/kia-picanto-1-2i-gt-line-isg-benzine-wit-41bb13eb-bc5d-46c6-b470-f908436c9f9e,Kia Picanto,€ 8000,20000 ,06,2020,62 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:35.828603,2,7,/nl/aanbod/seat-leon-fr-diesel-zwart-93ff3e0e-bd8b-49bf-ba55-8e9c802a0408,SEAT Leon,€ 27912,10,01,2021,110 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:35.857703,2,8,/nl/aanbod/mercedes-benz-glc-220-d-4matic-coupe-exclusive-interieur-comand-aps-diesel-blauw-53015f89-4a54-4828-ac48-01793586b12a,Mercedes-Benz GLC 220,€ 37225,61908 ,12,2016,125 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:35.888443,2,9,/nl/aanbod/mercedes-benz-cla-200-coupe-urban-navi-keyless-go-start-funktion-r-cd-benzine-zilver-3aff89ae-3bc9-4d96-b2ff-dc721a1caeaf,Mercedes-Benz CLA 200,€ 23500,31666 ,06,2018,115 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:35.918364,2,10,/nl/aanbod/bmw-635-3-0-da-286-cv-pack-m-diesel-zwart-43be25b7-34fe-4eac-97a4-6389cbddf69c,BMW 635,€ 19900,135000 ,10,2010,213 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:35.949281,2,11,/nl/aanbod/renault-twingo-0-9-tce-90-edc-benzine-geel-e5bebc87-31ec-437f-b4da-19608513602f,Renault Twingo,€ 7800,3120 ,11,2016,66 ,Tweedehands,Automatisch,Benzine
2021-06-29 12:51:35.985188,2,12,/nl/aanbod/mercedes-benz-gla-180-urban-night-paket-navi-keyless-go-start-funktion-benzine-grijs-490adb90-dc4f-4cd2-8215-a295203fc25a,Mercedes-Benz GLA 180,€ 30922,10508 ,04,2020,90 ,Tweedehands,Automatisch,Benzine
2021-06-29 12:51:36.021088,2,13,/nl/aanbod/audi-q2-1-6-30-tdi-sport-euro-6d-temp-navi-styling-led-diesel-rood-520b8d76-5e35-4de9-9189-a002e1491d80,Audi Q2,€ 24500,27721 ,04,2019,85 ,Tweedehands,Halfautomaat,Diesel
2021-06-29 12:51:36.050010,2,14,/nl/aanbod/mercedes-benz-e-230-benzine-zwart-0aa5ffca-c2da-49a4-8070-acd33baa19ea,Mercedes-Benz E 230,€ 1850,220000 ,07,1995,110 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:36.079933,2,15,/nl/aanbod/bmw-m4-3-0-leder-navigatie-led-harman-kardon-benzine-blauw-41db06f2-a394-4747-aa9a-7e737e65c08d,BMW M4,€ 48500,54435 ,06,2015,317 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:36.111847,2,16,/nl/aanbod/mercedes-benz-c-200-d-bluetec-avantgarde-135pk-yu28690-dealer-onderh-diesel-zwart-99ba693f-d6b5-4777-b885-b025236f1a98,Mercedes-Benz C 200,€ 15600,118234 ,10,2016,100 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:37.612834,3,2,/nl/aanbod/volkswagen-touran-1-4-tsi-dsg-1er-proprietaire-garantie-12-mois-benzine-bruin-c0a4c232-9030-4f8e-9e4c-a08c465e2e2c,Volkswagen Touran,€ 10950,58000 ,01,2012,103 ,Tweedehands,Automatisch,Benzine
2021-06-29 12:51:39.890662,4,3,/nl/aanbod/skoda-yeti-1-2-tsi-1er-proprietaire-garantie-12-mois-benzine-zwart-db955919-a422-4ed5-993d-3ebd0bb96a2d,Skoda Yeti,€ 9500,90000 ,12,2014,77 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:52.405840,11,6,/nl/aanbod/citroen-berlingo-1-6-hdi-1er-proprietaire-garantie-12-mois-diesel-grijs-8c8b608a-7d04-40ad-b153-58366ba1dc42,Citroen Berlingo,€ 6500,162000 ,05,2014,68 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:54.126354,12,10,/nl/aanbod/volkswagen-golf-1-6-cr-tdi-gps-airco-diesel-grijs-24cb994a-6967-4a24-9c4a-8197b605aebe,Volkswagen Golf,€ 3950,273000 ,10,2011,77 ,Tweedehands,Manueel,Diesel
2021-06-29 12:52:00.570536,17,16,/nl/aanbod/citroen-c4-picasso-full-options-1-6-bluehdi-exclusive-diesel-zwart-3eb6e4c5-f59f-2064-e053-0100007fa0dd,Citroen C4 Picasso,€ 12000,123000 ,06,2016,85 ,Tweedehands,Automatisch,Diesel
2021-06-29 13:07:07.539267,1,0,/nl/aanbod/peugeot-807-hdi-130-family-diesel-grijs-2442fd2f-98d0-4b83-ac4b-4196c579b64a,Peugeot 807,€ 1850,178000 ,06,2006,94 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:07.579161,1,1,/nl/aanbod/ford-ka-ka-1-3i-pret-a-immatriculer-benzine-rood-38bbc185-9cd1-4ec1-8233-2e5dfb2dfd74,Ford Ka/Ka+,€ 1650,150000 ,12,2007,44 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:07.632024,1,2,/nl/aanbod/toyota-yaris-1-3-linea-luna-benzine-zilver-5764ceec-6dca-434c-8f13-7e78db70fd44,Toyota Yaris,€ 1750,157000 ,06,2001,63 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:07.676899,1,3,/nl/aanbod/renault-clio-1-0-tce-zen-benzine-zilver-6646905b-2e45-4f32-876a-74fff766785d,Renault Clio,€ 13500,14800 ,07,2020,74 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:07.716794,1,4,/nl/aanbod/saab-9-3-cabrio-2-0i-benzine-autom-gps-topstaat-1ste-benzine-grijs-f2dd8033-4852-484b-8eaa-d3517aa755af,Saab 9-3,€ 9990,141982 ,02,2005,154 ,Tweedehands,Automatisch,Benzine
2021-06-29 13:07:07.754691,1,5,/nl/aanbod/skoda-octavia-break-1-2i-benzine-gps-airco-topstaat-benzine-zwart-04c9d98d-6035-4b25-951d-055cbd504094,Skoda Octavia,€ 9990,111284 ,11,2013,77 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:07.792592,1,6,/nl/aanbod/bmw-x5-xdrive-40e-hybrid-autom-pano-topstaat-1ste-eig-elektrisch-benzine-bruin-26a93522-bd80-4134-a7ab-23aeda115708,BMW X5,€ 35990,108660 ,01,2016,155 ,Tweedehands,Automatisch,Elektrisch/Benzine
2021-06-29 13:07:07.833481,1,7,/nl/aanbod/peugeot-206-1-4i-benzine-benzine-grijs-8a3e82eb-863b-4e9d-be82-5b3db84d5c82,Peugeot 206,€ 2450,120125 ,12,2004,55 ,Tweedehands,Automatisch,Benzine
2021-06-29 13:07:07.873373,1,8,/nl/aanbod/mazda-cx-3-2-0i-skyactiv-autom-gps-topstaat-1ste-eig-benzine-blauw-cc70fb2a-48f1-4e38-8cd9-8f58fe30fac6,Mazda CX-3,€ 18990,60812 ,12,2016,88 ,Tweedehands,Automatisch,Benzine
2021-06-29 13:07:07.912269,1,9,/nl/aanbod/renault-grand-espace-2-0-dci-dynamique-to-od-diesel-grijs-79b3a83f-6aa4-4b82-905b-749cc4cba234,Renault Grand Espace,€ 2950,178500 ,02,2008,96 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:07.955158,1,10,/nl/aanbod/nissan-x-trail-benzine-rood-506d16af-5e31-4343-84bb-6de64bf18ded,Nissan X-Trail,€ 1750,295000 ,11,2001,84 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:07.995049,1,11,/nl/aanbod/nissan-micra-1-2-acenta-benzine-grijs-305be08c-b230-4a1f-b35c-8f5b6d2b2dce,Nissan Micra,€ 2950,176000 ,03,2011,59 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:08.042921,1,12,/nl/aanbod/peugeot-208-1-2i-garantie-12-mois-airco-5-portes-benzine-rood-6f14e721-5fbf-4c5f-adaf-2ee05599f490,Peugeot 208,€ 5950,98000 ,10,2012,60 ,Tweedehands,Manueel,Benzine
2021-06-29 13:07:08.084809,1,13,/nl/aanbod/volkswagen-t6-transporter-2-0-tdi-3-places-longue-chasis-utilitaire-diesel-grijs-a8fe48fe-a0f4-4dc9-beee-9eb08c03ff66,Volkswagen T6 Transporter,€ 19900,33000 ,11,2016,84 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:08.124705,1,14,/nl/aanbod/jeep-renegade-1-6-mjd-downtown-12m-garantie-diesel-rood-34cc634c-75e2-444b-a3c6-a116b833c233,Jeep Renegade,€ 12499,86000 ,10,2016,85 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:08.168584,1,15,/nl/aanbod/volkswagen-polo-1-4-tdi-comfortline-dpf-diesel-blauw-bf2a6ba6-6b6a-47f5-9712-aaf51d36fa6e,Volkswagen Polo,€ 2350,201000 ,03,2008,51 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:08.207483,1,16,/nl/aanbod/bmw-116-1-hatch-diesel-2015-efficientdynamics-edition-diesel-zwart-59ab2eeb-80e9-4bc3-80c1-e898aa8968ea,BMW 116,€ 13950,91200 ,08,2016,85 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:08.250367,1,17,/nl/aanbod/opel-vectra-1-9-dt-cdti-comfort-diesel-grijs-e7ebb7d9-f8df-48f3-a7b6-b4da7457202d,Opel Vectra,€ 1900,152000 ,04,2006,110 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:08.302231,1,18,/nl/aanbod/renault-clio-1-5-grandtour-dci90-diesel-grijs-9c72e6c5-f161-460f-e053-0100007f6442,Renault Clio,€ 2500,217100 ,02,2010,76 ,Tweedehands,Manueel,Diesel
2021-06-29 13:07:08.356086,1,19,/nl/aanbod/tesla-model-x-90d-autopilot-5-seats-tow-package-elektrisch-grijs-b5814f92-aa7e-44b1-8abf-0e40d083b0c1,Tesla Model X,€ 58979,58979 ,03,2017,386 ,Tweedehands,Automatisch,Elektrisch
2021-06-29 13:07:10.075598,2,0,/nl/aanbod/renault-laguna-1-5-dci-limited-81-110-kw-hp-gar-1an-diesel-bruin-969173de-41cd-430d-a1a2-d62d1cfe2cb0,Renault Laguna,€ 6450,187489 ,01,2015,81 ,Tweedehands,Manueel,Diesel
